name,birth_country
Larry Gatlin & The Gatlin Brothers Band,US
Carly Pearce,US
The Charlie Daniels Band,US
Haystak,US
Charlie Rich,US
T. Graham Brown,US
Faron Young,US
Shovels & Rope,US
Chris Knight,US
Deer Tick,US
Love,US
Mary Chapin Carpenter,US
Dave Mason,GB
Shotgun Rider,
Daniel Lee,
Dean Brody,CA
Blaze Foley,US
Murphy Elmore,
Roger Alan Wade,US
The Bellamy Brothers,US
Gene Watson,US
Adam Doleac,
My Morning Jacket,US
Jawga Boyz,US
Kenyon,FR
Don Williams,US
Keith Anderson,US
Juice Newton,US
Charley Crockett,
Seckond Chaynce,
Little River Band,AU
Porter Wagoner,US
Warren Zevon,US
Molly Hatchet,US
Rhett Akins,US
Jerry Garcia,US
Chris Bandi,
Nitty Gritty Dirt Band,US
Overtime,
Tebey,CA
Kris Kristofferson,US
The Statler Brothers,US
Gordon Lightfoot,CA
Gram Parsons,US
Ryan Griffin,
Manik,US
Josh Ritter,US
Orleans,US
Jackie Lee,US
Sam Grow,
Jeff Robinette,
Canaan,IT
Lila McCann,US
Tammy Wynette,US
Mini Thin,
Frankie Ballard,US
Ricky Skaggs,US
Florida Georgia Line,US
Bob Welch,US
Kelleigh Bannen,US
Rodney Carrington,US
The Grass Roots,US
Faces,GB
Jerry Reed,US
Blitzen Trapper,US
Diamond Rio,US
HORSE the band,US
Ry Cooder,US
Axe Murder Boyz,US
Kolby Cooper,US
David Nail,US
Rick Treviño,US
James Otto,US
Jason Michael Carroll,US
Todd Snider,US
Young Wicked,US
Hiss Golden Messenger,US
Dennis Wilson,US
Parmalee,
Glen Campbell,US
Blaine Larsen,US
Vince Gill,US
Lenny Cooper,US
Joe Diffie,US
JJ Lawhorn,
Whiskeytown,US
Love and Theft,
Tom T. Hall,US
The Allman Brothers Band,US
Cowboy Troy,US
Levon Helm,US
Aleyce Simmonds,
The Byrds,US
6410,
Lyle Lovett,US
Cale Dodds,US
No Justice,US
Lonestar,US
Andy Griggs,US
Lucinda Williams,US
Justin Lee,
Deryl Dodd,US
Billy Joe Shaver,US
Henson Cargill,US
Struggle,US
Songs: Ohia,US
Red Sovine,US
Lil Wyte,
Ronnie McDowell,US
Townes Van Zandt,US
George Morgan,US
Thieving Birds,US
Outshyne,US
Austin Jenckes,
Hunter Brothers,
Paul Davis,US
Tracy Byrd,US
Gloriana,
Bob Dylan,US
Drew Baldridge,US
Chase,US
Trick Pony,US
Justin Townes Earle,US
The Kentucky Headhunters,US
Ashley McBryde,
Billy Walker,US
Joe Pug,US
David Crosby,US
Radney Foster,US
David Fanning,
The Mavericks,US
Moccasin Creek,US
Loggins & Messina,US
Kaufman,
C-Mob,US
Aaron Goodvin,CA
James Gang,US
The Marshall Tucker Band,US
Snap!,DE
Ray Price,US
Doug Supernaw,US
Matt Stell,
Sean McConnell,US
Ty,
Mel Tillis,US
Lee Greenwood,US
Lindi Ortega,CA
The Roads,CZ
Boondox,US
Sons of Bill,US
Tom O’Connor,GB
Wes Montgomery,US
Lindsey Haun,US
Mikel Knight,
Ryan Adams & the Cardinals,US
Buddy Guy,US
Aftertheparty,
Joyce Manor,US
Future Islands,US
Built to Spill,US
Car Seat Headrest,
The Whitest Boy Alive,DE
Art of Dying,CA
12 Stones,US
Teedra Moses,US
Atmosphere,US
Little Simz,GB
Hombres G,ES
The Ready Set,US
Rejjie Snow,IE
León Larregui,MX
Sevendust,US
Ariel Pink,US
Ra Ra,
11:11,US
Nothing But Thieves,GB
Benny The Butcher,US
Them Crooked Vultures,US
Natalie Grant,US
Hatebreed,US
Brandon Heath,US
Moods,
Jamila Woods,US
J Dilla,US
Hieroglyphics,US
CKY,
The Bravery,US
Grand Puba,US
Laura Story,US
The Phantoms,US
Black Star,US
Celso Piña,MX
Rival Sons,US
The Veer Union,CA
Curren$y,US
Free Throw,
Revis,US
Black Stone Cherry,US
Primus,
RKCB,
Aaron Shust,
Screaming Trees,US
Anberlin,US
Frank Carter & The Rattlesnakes,GB
Los Fabulosos Cadillacs,AR
Metronomy,GB
Jeremy Camp,
Crystal Castles,CA
Four Tet,GB
Soda Stereo,AR
Camp Lo,US
Ledger,
Pavement,US
Light the Torch,
Boston Manor,
Foxygen,US
Junglepussy,
Sorority Noise,US
Danny Brown,US
Blessed,
Taproot,US
Meredith Andrews,
Black Label Society,US
Palaye Royale,CA
Demob Happy,GB
Lincoln Brewster,US
Easy Life,
dead prez,US
Hellyeah,US
Julieta Venegas,MX
Citizen,US
Brick+Mortar,US
Kelsey Lu,US
Mother Love Bone,US
Jason Gray,US
Common,US
